time_s,Tmax_K,Tavg_K
0.00307,299.374845032019,293.071255538146
0.00308,299.375198135927,293.071308129377
0.00309,299.375551239836,293.071360720608
0.0031,299.375904343745,293.07141331184
0.00311,299.376257447654,293.071465903072
0.00312,299.376610551563,293.071518494302
0.00313,299.376963655472,293.071571085535
0.00314,299.37731675938,293.071623676766
0.00315,299.37751677399,293.071657790139
0.00316,299.37771665499,293.071691887385
0.00317,299.37791653599,293.071725984632
0.00318,299.37811641699,293.071760081877
0.00319,299.37831629799,293.071794179124
0.0032,299.378516178989,293.071828276371
0.00321,299.378716059989,293.071862373616
0.00322,299.378915940989,293.071896470864
0.00323,299.379115821989,293.071930568109
0.00324,299.379315702989,293.071964665356
0.00325,299.379515583988,293.071998762602
0.00326,299.379715464988,293.072032859848
0.00327,299.379915345988,293.072066957094
0.00328,299.380115226988,293.07210105434
0.00329,299.380315107987,293.072135151587
0.0033,299.380514988987,293.072169248833
0.00331,299.380714869987,293.07220334608
0.00332,299.380914750987,293.072237443326
0.00333,299.381114631987,293.072271540572
0.00334,299.381314512986,293.072305637819
0.00335,299.381514393986,293.072339735065
0.00336,299.381714274986,293.072373832311
0.00337,299.381914155986,293.072407929557
0.00338,299.382114036986,293.072442026803
0.00339,299.382313917985,293.07247612405
0.0034,299.382513798985,293.072510221295
0.00341,299.382713679985,293.072544318543
0.00342,299.382913560985,293.072578415789
0.00343,299.383113441984,293.072612513035
0.00344,299.383313322984,293.072646610282
0.00345,299.383513203984,293.072680707528
0.00346,299.383713084984,293.072714804775
0.00347,299.383912965984,293.072748902021
0.00348,299.384112846983,293.072782999267
0.00349,299.384312727983,293.072817096513
0.0035,299.384512608983,293.072851193759
0.00351,299.384712489983,293.072885291005
0.00352,299.384912370982,293.072919388252
0.00353,299.385112251982,293.072953485498
0.00354,299.385312132982,293.072987582745
0.00355,299.385512013982,293.073021679991
0.00356,299.385711894982,293.073055777237
0.00357,299.385911775981,293.073089874483
0.00358,299.386111656981,293.07312397173
0.00359,299.386311537981,293.073158068976
0.0036,299.386511418981,293.073192166222
0.00361,299.386711299981,293.073226263469
0.00362,299.38691118098,293.073260360715
0.00363,299.38711106198,293.073294457961
0.00364,299.38731094298,293.073328555208
0.00365,299.387426054522,293.073350669344
0.00366,299.387541092081,293.073372773023
0.00367,299.387656129639,293.073394876702
0.00368,299.387771167198,293.073416980381
0.00369,299.387886204756,293.073439084058
0.0037,299.388001242315,293.073461187738
0.00371,299.388116279873,293.073483291417
0.00372,299.388231317432,293.073505395095
0.00373,299.38834635499,293.073527498773
0.00374,299.388461392549,293.073549602452
0.00375,299.388576430107,293.073571706132
0.00376,299.388691467666,293.07359380981
0.00377,299.388806505225,293.073615913489
0.00378,299.388921542783,293.073638017167
0.00379,299.389036580342,293.073660120846
0.0038,299.3891516179,293.073682224524
0.00381,299.389266655459,293.073704328204
0.00382,299.389381693017,293.073726431882
0.00383,299.389496730576,293.07374853556
0.00384,299.389611768134,293.07377063924
0.00385,299.389726805693,293.073792742918
0.00386,299.389841843251,293.073814846596
0.00387,299.38995688081,293.073836950275
0.00388,299.390071918369,293.073859053953
0.00389,299.390186955927,293.073881157633
0.0039,299.390301993486,293.073903261311
0.00391,299.390417031044,293.07392536499
0.00392,299.390532068603,293.073947468669
0.00393,299.390647106161,293.073969572347
0.00394,299.39076214372,293.073991676025
0.00395,299.390877181278,293.074013779704
0.00396,299.390992218837,293.074035883383
0.00397,299.391107256396,293.074057987061
0.00398,299.391222293954,293.074080090741
0.00399,299.391337331513,293.07410219442
0.004,299.391452369071,293.074124298097
0.00401,299.39156740663,293.074146401777
0.00402,299.391682444188,293.074168505455
0.00403,299.391797481747,293.074190609133
0.00404,299.391912519305,293.074212712812
0.00405,299.392027556864,293.074234816491
0.00406,299.392142594422,293.074256920169
0.00407,299.392257631981,293.074279023849
0.00408,299.392372669539,293.074301127527
0.00409,299.392487707098,293.074323231206
0.0041,299.392602744657,293.074345334884
0.00411,299.392717782215,293.074367438562
0.00412,299.392832819774,293.074389542241
0.00413,299.392947857332,293.07441164592
0.00414,299.393062894891,293.074433749598
0.00415,299.393129517134,293.074448084953
0.00416,299.393196097121,293.074462413527
0.00417,299.393262677109,293.074476742102
0.00418,299.393329257097,293.074491070677
0.00419,299.393395837085,293.074505399251
0.0042,299.393462417072,293.074519727825
0.00421,299.39352899706,293.074534056399
0.00422,299.393595577048,293.074548384974
0.00423,299.393662157036,293.074562713548
0.00424,299.393728737024,293.074577042122
0.00425,299.393795317011,293.074591370697
0.00426,299.393861896999,293.074605699272
0.00427,299.393928476987,293.074620027846
0.00428,299.393995056975,293.074634356419
0.00429,299.394061636962,293.074648684995
0.0043,299.39412821695,293.07466301357
0.00431,299.394194796938,293.074677342144
0.00432,299.394261376926,293.074691670719
0.00433,299.394327956914,293.074705999293
0.00434,299.394394536901,293.074720327866
0.00435,299.394461116889,293.074734656441
0.00436,299.394527696877,293.074748985015
0.00437,299.394594276865,293.07476331359
0.00438,299.394660856852,293.074777642164
0.00439,299.39472743684,293.074791970738
0.0044,299.394794016828,293.074806299313
0.00441,299.394860596816,293.074820627888
0.00442,299.394927176804,293.074834956462
0.00443,299.394993756791,293.074849285037
0.00444,299.395060336779,293.074863613611
0.00445,299.395126916767,293.074877942186
0.00446,299.395193496755,293.07489227076
0.00447,299.395260076742,293.074906599334
0.00448,299.39532665673,293.074920927909
0.00449,299.395393236718,293.074935256482
0.0045,299.395459816706,293.074949585057
0.00451,299.395526396694,293.074963913632
0.00452,299.395592976681,293.074978242206
0.00453,299.395659556669,293.074992570781
0.00454,299.395726136657,293.075006899355
0.00455,299.395792716645,293.075021227929
0.00456,299.395859296632,293.075035556503
0.00457,299.39592587662,293.075049885078
0.00458,299.395992456608,293.075064213652
0.00459,299.396059036596,293.075078542226
0.0046,299.396125616584,293.075092870801
0.00461,299.396192196571,293.075107199376
0.00462,299.396258776559,293.07512152795
0.00463,299.396325356547,293.075135856524
0.00464,299.396391936535,293.075150185098
0.00465,299.396430796091,293.07515947807
0.00466,299.396469631455,293.075168766647
0.00467,299.396508466818,293.075178055224
0.00468,299.396547302182,293.0751873438
0.00469,299.396586137545,293.075196632377
0.0047,299.396624972909,293.075205920954
0.00471,299.396663808272,293.075215209531
0.00472,299.396702643636,293.075224498108
0.00473,299.396741478999,293.075233786685
0.00474,299.396780314363,293.075243075261
0.00475,299.396819149726,293.075252363837
0.00476,299.39685798509,293.075261652414
0.00477,299.396896820453,293.075270940991
0.00478,299.396935655817,293.075280229567
0.00479,299.39697449118,293.075289518144
0.0048,299.397013326544,293.075298806721
0.00481,299.397052161907,293.075308095297
0.00482,299.397090997271,293.075317383874
0.00483,299.397129832634,293.075326672451
0.00484,299.397168667998,293.075335961028
0.00485,299.397207503361,293.075345249605
0.00486,299.397246338725,293.075354538181
0.00487,299.397285174088,293.075363826758
0.00488,299.397324009452,293.075373115335
0.00489,299.397362844815,293.075382403912
0.0049,299.397401680179,293.075391692488
0.00491,299.397440515542,293.075400981065
0.00492,299.397479350906,293.075410269642
0.00493,299.397518186269,293.075419558217
0.00494,299.397557021633,293.075428846795
0.00495,299.397595856996,293.075438135371
0.00496,299.39763469236,293.075447423949
0.00497,299.397673527723,293.075456712525
0.00498,299.397712363087,293.075466001101
0.00499,299.39775119845,293.075475289679
0.005,299.397790033814,293.075484578255
