tap_index,coefficient
465,0.0002123031749816944
466,0.00031742634037596265
467,0.0002828020339092605
468,0.00015450933347836352
469,2.6512701427916997e-05
470,-1.5833531025478397e-05
471,5.554623618448573e-05
472,0.00019805324670132
473,0.00032623538204591234
474,0.0003629204731028951
475,0.0002833018092473975
476,0.00012710672058323537
477,-2.6596107242016836e-05
478,-0.00010580288233464784
479,-8.571211230494931e-05
480,-8.411538482398526e-19
481,8.181885128654704e-05
482,9.641350739811997e-05
483,2.313788707266845e-05
484,-0.00010558285387553084
485,-0.00022473228333269506
486,-0.0002749847991986158
487,-0.00023616583948475923
488,-0.00013701944909660924
489,-3.673771837602821e-05
490,1.0015050975806192e-05
491,-1.6044459171134137e-05
492,-8.949865953855143e-05
493,-0.00015687254212906637
494,-0.00016870908034028142
495,-0.00010817523888601764
496,-3.1771071292914985e-18
497,0.0001046514012409876
498,0.00015790492873271828
499,0.00014206588121795904
500,7.843557035966824e-05
501,1.36102279258234e-05
502,-8.225246699326727e-06
503,2.9221060810793555e-05
504,0.0001055861070110623
505,0.00017638206902387897
506,0.00019913573431499455
507,0.00015787624320055008
508,7.199118453578206e-05
509,-1.5320853723553723e-05
510,-6.20330196022765e-05
511,-5.118338250153405e-05
512,-5.85072077799069e-19
