Frequency_Hz,Frequency_MHz,20260515_092941,20260526_141535,20260526_142458
75928390.502929688,75.928390502930,1.1424908457148669e-05,4.6653653211844914e-05,5.0419700697018362e-07
75928535.461425781,75.928535461426,1.0452596765491091e-05,5.5725268583168685e-05,3.5116094241885737e-07
75928680.419921875,75.928680419922,1.296153335835503e-05,3.7284269585823152e-05,4.9751715567867496e-07
75928825.378417969,75.928825378418,1.0325985549188566e-05,3.4636288911074397e-05,5.5314690457970135e-07
75928970.336914062,75.928970336914,1.101532297406734e-05,6.1659388294216144e-05,5.4726604164033636e-07
75929115.295410156,75.929115295410,1.2475261704923954e-05,5.350976372995793e-05,5.5751937723645406e-07
75929260.25390625,75.929260253906,1.3392864344383871e-05,4.6591997961600437e-05,5.9090402605079479e-07
75929405.212402344,75.929405212402,1.3146167084042493e-05,5.0183156257303467e-05,5.9109591061180314e-07
75929550.170898438,75.929550170898,1.3154969663924594e-05,4.5553151309260473e-05,6.6386065672270748e-07
75929695.129394531,75.929695129395,1.1308249655852831e-05,4.4336667816384864e-05,6.1186847841063662e-07
75929840.087890625,75.929840087891,1.1035509964572935e-05,5.2657554357983794e-05,5.1740696146582975e-07
75929985.046386719,75.929985046387,9.4494941004649738e-06,4.0121023935776664e-05,4.7142441067423625e-07
75930130.004882812,75.930130004883,1.2898787083219481e-05,5.1437007975830786e-05,5.316658808337947e-07
75930274.963378906,75.930274963379,1.2580458520139657e-05,5.4378117511603475e-05,4.5208954166534676e-07
75930419.921875,75.930419921875,1.2033983113164863e-05,5.4929391624950089e-05,6.0922114841253192e-07
75930564.880371094,75.930564880371,1.176581815481361e-05,4.6696099570473829e-05,5.7517878965651411e-07
75930709.838867188,75.930709838867,1.1396703534388638e-05,5.1727963069417273e-05,5.5804874510798632e-07
75930854.797363281,75.930854797363,1.341854410312491e-05,4.5056398814426792e-05,6.198902390086581e-07
75930999.755859375,75.930999755859,1.2198553290532308e-05,4.5733668464506381e-05,6.6212030950293477e-07
75931144.714355469,75.931144714355,1.1754232444448111e-05,4.9889498541918261e-05,7.3467068449419575e-07
75931289.672851562,75.931289672852,1.4151956948711586e-05,5.6359360797724867e-05,5.5481842411643568e-07
75931434.631347656,75.931434631348,1.5208108921477407e-05,6.4195978296877757e-05,5.6869595372367773e-07
75931579.58984375,75.931579589844,1.2873147544358359e-05,5.1292842847518913e-05,7.1305575814494451e-07
