Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-65231.3232422,75934768.676757812,8,-51.3841611486
-65086.3647461,75934913.635253906,8,-51.4034845573
-64941.40625,75935058.59375,8,-51.4228510507
-64796.4477539,75935203.552246094,8,-51.4422608215
-64651.4892578,75935348.510742188,8,-51.4617140635
-64506.5307617,75935493.469238281,8,-51.4812109718
-64361.5722656,75935638.427734375,8,-51.500751743
-64216.6137695,75935783.386230469,8,-51.5203365747
-64071.6552734,75935928.344726562,8,-51.5399656662
-63926.6967773,75936073.303222656,8,-51.5596392179
-63781.7382812,75936218.26171875,8,-51.5793574317
-63636.7797852,75936363.220214844,8,-51.5991205109
-63491.8212891,75936508.178710938,8,-51.6189286601
-63346.862793,75936653.137207031,8,-51.6387820853
-63201.9042969,75936798.095703125,8,-51.6586809939
-63056.9458008,75936943.054199219,8,-51.678625595
-62911.9873047,75937088.012695312,8,-51.6986160986
-62767.0288086,75937232.971191406,8,-51.7186527167
-62622.0703125,75937377.9296875,8,-51.7387356626
-62477.1118164,75937522.888183594,8,-51.7588651508
-62332.1533203,75937667.846679688,8,-51.7790413976
-62187.1948242,75937812.805175781,8,-51.7992646209
-62042.2363281,75937957.763671875,8,-51.8195350398
-61897.277832,75938102.722167969,8,-51.8398528751
-61752.3193359,75938247.680664062,8,-51.8602183492
-61607.3608398,75938392.639160156,8,-51.880631686
-61462.4023438,75938537.59765625,8,-51.901093111
-61317.4438477,75938682.556152344,8,-51.9216028514
-61172.4853516,75938827.514648438,8,-51.9421611357
-61027.5268555,75938972.473144531,8,-51.9627681944
-60882.5683594,75939117.431640625,8,-51.9834242595
-60737.6098633,75939262.390136719,8,-52.0041295645
-60592.6513672,75939407.348632812,8,-52.0248843448
-60447.6928711,75939552.307128906,8,-52.0456888374
-60302.734375,75939697.265625,8,-52.0665432811
-60157.7758789,75939842.224121094,8,-52.0874479162
-60012.8173828,75939987.182617188,8,-52.1084029849
-59867.8588867,75940132.141113281,8,-52.1294087312
-59722.9003906,75940277.099609375,8,-52.1504654008
-59577.9418945,75940422.058105469,8,-52.1715732412
-59432.9833984,75940567.016601562,8,-52.1927325016
-59288.0249023,75940711.975097656,8,-52.2139434333
-59143.0664062,75940856.93359375,8,-52.2352062892
-58998.1079102,75941001.892089844,8,-52.2565213241
-58853.1494141,75941146.850585938,8,-52.2778887948
-58708.190918,75941291.809082031,8,-52.2993089599
-58563.2324219,75941436.767578125,8,-52.3207820799
-58418.2739258,75941581.726074219,8,-52.3423084174
-58273.3154297,75941726.684570312,8,-52.3638882367
-58128.3569336,75941871.643066406,8,-52.3855218042
-57983.3984375,75942016.6015625,8,-52.4072093884
-57838.4399414,75942161.560058594,8,-52.4289512597
-57693.4814453,75942306.518554688,8,-52.4507476905
-57548.5229492,75942451.477050781,8,-52.4725989554
-57403.5644531,75942596.435546875,8,-52.494505331
-57258.605957,75942741.394042969,8,-52.5164670958
-57113.6474609,75942886.352539062,8,-52.5384845308
-56968.6889648,75943031.311035156,8,-52.5605579189
-56823.7304688,75943176.26953125,8,-52.5826875452
-56678.7719727,75943321.228027344,8,-52.604873697
-56533.8134766,75943466.186523438,8,-52.6271166638
-56388.8549805,75943611.145019531,8,-52.6494167373
-56243.8964844,75943756.103515625,8,-52.6717742116
-56098.9379883,75943901.062011719,8,-52.6941893828
-55953.9794922,75944046.020507812,8,-52.7166625496
-55809.0209961,75944190.979003906,8,-52.7391940128
-55664.0625,75944335.9375,8,-52.7617840756
-55519.1040039,75944480.895996094,8,-52.7844330437
-55374.1455078,75944625.854492188,8,-52.8071412251
-55229.1870117,75944770.812988281,8,-52.8299089302
-55084.2285156,75944915.771484375,8,-52.8527364718
-54939.2700195,75945060.729980469,8,-52.8756241653
-54794.3115234,75945205.688476562,8,-52.8985723286
-54649.3530273,75945350.646972656,8,-52.921581282
-54504.3945312,75945495.60546875,8,-52.9446513484
-54359.4360352,75945640.563964844,8,-52.9677828533
-54214.4775391,75945785.522460938,8,-52.990976125
-54069.519043,75945930.480957031,8,-53.014231494
-53924.5605469,75946075.439453125,8,-53.0375492938
-53779.6020508,75946220.397949219,8,-53.0609298605
-53634.6435547,75946365.356445312,8,-53.0843735329
-53489.6850586,75946510.314941406,8,-53.1078806527
-53344.7265625,75946655.2734375,8,-53.1314515641
-53199.7680664,75946800.231933594,8,-53.1550866143
-53054.8095703,75946945.190429688,8,-53.1787861534
-52909.8510742,75947090.148925781,8,-53.2025505341
-52764.8925781,75947235.107421875,8,-53.2263801124
-52619.934082,75947380.065917969,8,-53.2502752469
-52474.9755859,75947525.024414062,8,-53.2742362992
-52330.0170898,75947669.982910156,8,-53.2982636342
-52185.0585938,75947814.94140625,8,-53.3223576195
-52040.1000977,75947959.899902344,8,-53.3465186259
-51895.1416016,75948104.858398438,8,-53.3707470273
-51750.1831055,75948249.816894531,8,-53.3950432008
-51605.2246094,75948394.775390625,8,-53.4194075265
-51460.2661133,75948539.733886719,8,-53.4438403879
-51315.3076172,75948684.692382812,8,-53.4683421716
-51170.3491211,75948829.650878906,8,-53.4929132677
-51025.390625,75948974.609375,8,-53.5175540692
-50880.4321289,75949119.567871094,8,-53.5422649729
-50735.4736328,75949264.526367188,8,-53.5670463788
-50590.5151367,75949409.484863281,8,-53.5918986903
-50445.5566406,75949554.443359375,8,-53.6168223143
-50300.5981445,75949699.401855469,8,-53.6418176613
-50155.6396484,75949844.360351562,8,-53.6668851452
-50010.6811523,75949989.318847656,8,-53.6920251837
-49865.7226562,75950134.27734375,8,-53.7172381979
-49720.7641602,75950279.235839844,8,-53.7425246128
-49575.8056641,75950424.194335938,8,-53.7678848569
-49430.847168,75950569.152832031,8,-53.7933193627
-49285.8886719,75950714.111328125,8,-53.8188285663
-49140.9301758,75950859.069824219,8,-53.8444129078
-48995.9716797,75951004.028320312,8,-53.8700728311
-48851.0131836,75951148.986816406,8,-53.8958087841
-48706.0546875,75951293.9453125,8,-53.9216212188
-48561.0961914,75951438.903808594,8,-53.947510591
-48416.1376953,75951583.862304688,8,-53.9734773607
-48271.1791992,75951728.820800781,8,-53.9995219921
-48126.2207031,75951873.779296875,8,-54.0256449536
-47981.262207,75952018.737792969,8,-54.0518467177
-47836.3037109,75952163.696289062,8,-54.0781277613
-47691.3452148,75952308.654785156,8,-54.1044885656
-47546.3867188,75952453.61328125,8,-54.1309296162
-47401.4282227,75952598.571777344,8,-54.1574514032
-47256.4697266,75952743.530273438,8,-54.1840544211
-47111.5112305,75952888.488769531,8,-54.2107391691
-46966.5527344,75953033.447265625,8,-54.2375061508
-46821.5942383,75953178.405761719,8,-54.2643558747
-46676.6357422,75953323.364257812,8,-54.2912888538
