wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps
696,-185.4375099023526,2382785.4929519463,70226.26206476399,2453011.75501671,1142400.0202095476,66.06491753592849,68.01200079128658
697,-184.56316790711898,2378370.3024890698,70060.37643553091,2448430.6789246006,1130432.9646501832,65.94250260358693,67.88498652975059
698,-183.69759221703436,2374013.5335560185,69895.26828694131,2443908.8018429596,1118776.2009146968,65.8217074586459,67.75961361203072
699,-182.84060007232992,2369713.6528786626,69730.93138349609,2439444.5842621587,1107439.21887908,65.7024895897513,67.63583935388635
700,-181.9920087132368,2365469.1028446853,69567.3597248702,2435036.4625695557,1096431.61541853,65.58480581075273,67.51362040280078
701,-181.15163537998603,2361278.3014066266,69404.5473177634,2430682.84872439,1085763.0950246647,65.46861225801547,67.39291272896762
702,-180.31929731280877,2357139.6419849256,69242.48806347587,2426382.1300484017,1075443.470425398,65.35386438773197,67.27367161948543
703,-179.4948117519361,2353051.493370965,69081.1761245215,2422132.6694954867,1065510.5718771704,65.24051697323394,67.15585168583414
704,-178.67797969782103,2349011.9861318767,68920.60572858354,2417932.59186046,1056174.8205115634,65.12851818288289,67.03940093633
705,-177.86850281532207,2345017.9139437424,68760.77105566722,2413778.6849994096,1047689.3184714981,65.01777911859455,66.92423031151908
706,-177.06604522276407,2341065.5318358545,68601.66630530037,2409667.198141155,1040139.592154568,64.9081959478438,66.81023581804666
707,-176.27027096841198,2337151.045893105,68443.28588583501,2405594.3317789403,1033546.8609504318,64.79966348108181,66.69731211132415
708,-175.48084410053073,2333270.613996188,68285.62423047789,2401556.238226666,1027932.439033553,64.69207519225888,66.58535251095095
709,-174.69742866738534,2329420.3456433765,68128.67563275872,2397549.021276135,1023317.8576309598,64.58532321388313,66.47424899121141
710,-173.91968871724072,2325596.301772291,67972.43472181562,2393568.7364941062,1019724.8662052474,64.47929833207874,66.3638921893109
711,-173.1472882983619,2321794.494581675,67816.89614289567,2389611.390724571,1017175.4336408799,64.37388998164471,66.25417139157601
712,-172.37989145901378,2318010.8873531637,67662.05430533832,2385672.941658502,1015691.749432924,64.2689862411131,66.14497452152548
713,-171.6171622474614,2314241.3942730594,67507.90391245068,2381749.29818551,1015296.2248789183,64.16447382780777,66.03618814962024
714,-170.8587647119697,2310481.880254099,67354.43979347759,2377836.320047577,1016011.494273787,64.06023809290267,65.92769748366281
715,-170.1043629008036,2306728.1607572306,67201.65671926535,2373929.817476496,1017860.4161064642,63.9561630164805,65.81938635874518
716,-169.35362086222815,2302976.0016133846,67049.5494018385,2370025.551015223,1020866.0742609391,63.85213120259127,65.71113723229551
717,-168.60620264450827,2299221.1188452425,66898.11275753196,2366119.2316027745,1025051.7792193353,63.748023874310604,65.60283118643218
718,-167.8617722959089,2295459.1784890136,66747.34180370723,2362206.5202927208,1030441.0692672771,63.643720868798496,65.49434792015879
719,-167.11999386469506,2291685.796416203,66597.23142120872,2358283.027837412,1037057.7117031544,63.539100632357716,65.3855657378364
720,-166.3805313991317,2287896.538155389,66447.77661391272,2354344.3147693016,1044925.7040498073,63.43404021549247,65.27636155143854
721,-165.6430489474838,2284086.9187139883,66298.97253138156,2350385.89124537,1054069.2752687722,63.328415267966825,65.16661087623766
722,-164.9072105580163,2280252.402400031,66150.81425919311,2346403.216659224,1064512.88697742,63.22210003386324,65.0561878200504
723,-164.1726802789942,2276388.402643937,66003.29694620446,2342391.6995901414,1076281.2346695776,63.11496734664137,64.94496508182482
724,-163.4391221586824,2272490.281820281,65856.41583905494,2338346.697659336,1089391.0326192114,63.006888624196385,64.83281394765542
725,-162.70620449531006,2268553.410325272,65710.16619908238,2334263.5765243545,1103446.61618695,62.89773550683254,64.71960592645317
726,-161.97380772385955,2264576.073707622,65564.5433197014,2330140.617027323,1117450.5794617196,62.78746045994366,64.60529335311355
727,-161.24211856239063,2260560.8332735943,65419.542566041244,2325980.3758396357,1130749.988729101,62.67613449794549,64.48994711355061
728,-160.51134760804786,2256510.615019284,65275.159321512394,2321785.7743407968,1143282.609686803,62.56383874658902,64.37364820552128
729,-159.78170545797593,2252428.377722766,65131.389010150466,2317559.7667329162,1155032.4770748068,62.45065524053239,64.25647853681605
730,-159.05340270931936,2248317.1130558136,64988.22718587845,2313305.340241692,1165983.473646237,62.33666692643824,64.13852093083138
731,-158.32664995922278,2244179.8456956367,64845.66930291864,2309025.514998555,1176119.3293856254,62.22195766607176,64.01985912330204
732,-157.6016578048308,2240019.633436594,64703.710878236525,2304723.344314831,1185423.6207262801,62.106612239397855,63.90057776990228
733,-156.8786368432881,2235839.567301928,64562.347730156696,2300401.9150320846,1193879.7697652322,61.99071634767906,63.78076245595958
734,-156.1577976717392,2231642.7716554822,64421.5754355102,2296064.3470909926,1201471.0434763206,61.87435661657301,63.66049968450101
735,-155.43935088732871,2227432.404313433,64281.38949676163,2291713.793810195,1208180.552921493,61.75762059923011,63.539876883984704
736,-154.7235070872013,2223211.6566560105,64141.78577692316,2287353.4424329335,1213991.2524610483,61.640596779391124,63.41898242345574
737,-154.01047686850154,2218983.753739227,64002.76012258771,2282986.513861815,1218885.938961092,61.52337457448483,63.29790560519224
738,-153.30047082837407,2214751.9544066014,63864.30836443667,2278616.262771038,1222847.2509998558,61.40604433872564,63.17673666781681
739,-152.5936995639635,2210519.55140088,63726.4262267363,2274245.9776276164,1225857.6680723766,61.288697366211125,63.055566786885066
740,-151.89037367241437,2206289.8714757683,63589.10962339301,2269878.9810991613,1227899.5097924327,61.17142589401974,62.934488086191514
741,-151.19070375087134,2202066.275507654,63452.35454854774,2265518.630056202,1228954.935093654,61.054323105308484,62.81359363783399
