wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps,best_grating_l_eff_cm,best_pulse_duration_grating_fiber_ps
1212.0,-36.29084098187034,1474070.7966058203,0.0,1474070.7966058203,2818450.4270178396,34.05847862219653,34.05847862219653,20.0,95.49009629429737
1213.0,-36.13900185945003,1470479.0385586007,0.0,1470479.0385586007,2788657.609769274,33.97549190643557,33.97549190643557,20.0,96.25578083096637
1214.0,-35.98859992022313,1466925.8402904414,0.0,1466925.8402904414,2767476.861056504,33.89339610769044,33.89339610769044,20.0,97.02488305976871
1215.0,-35.839342858262434,1463400.0092936798,0.0,1463400.0092936798,2755009.7932826043,33.81193262568931,33.81193262568931,20.0,97.79769646017726
1216.0,-35.69093836764075,1459890.2781215762,0.0,1459890.2781215762,2751358.597705318,33.73084112874199,33.73084112874199,20.0,98.57451659944222
1217.0,-35.54309414243086,1456385.3042332411,0.0,1456385.3042332411,2756626.046231495,33.64985955015754,33.64985955015754,20.0,99.35564114059525
1218.0,-35.395517876705576,1452873.6698385617,0.0,1452873.6698385617,2770915.4932147865,33.56872408466176,33.56872408466176,20.0,100.14136985051735
1219.0,-35.24791726453769,1449343.881743129,0.0,1449343.881743129,2794330.8772560144,33.48716918481525,33.48716918481525,20.0,100.93200460807299
1220.0,-35.1,1445784.3711931657,0.0,1445784.3711931657,2826027.507907496,33.40492755743163,33.40492755743163,20.0,101.72784941231107
1221.0,-34.95153467299501,1442185.9018938853,0.0,1442185.9018938853,2861336.37427156,33.32178580025613,33.32178580025613,20.0,102.52915475015094
1222.0,-34.802533456744015,1438548.8259443839,0.0,1438548.8259443839,2895513.9948939253,33.237752048559365,33.237752048559365,20.0,103.33594995355448
1223.0,-34.653069420298,1434875.9144963904,0.0,1434875.9144963904,2927585.631859162,33.15289032923092,33.15289032923092,20.0,104.14820885118509
1224.0,-34.503215632708,1431169.9575023234,0.0,1431169.9575023234,2957525.616432222,33.067265103539505,33.067265103539505,20.0,104.96590523086265
1225.0,-34.353045163024994,1427433.7637540505,0.0,1427433.7637540505,2985308.1335096993,32.980941268028026,32.980941268028026,20.0,105.78901284363785
1226.0,-34.202631080299994,1423670.1609216554,0.0,1423670.1609216554,3010907.2211673376,32.893984155409015,32.893984155409015,20.0,106.61750540794108
1227.0,-34.05204645358399,1419881.9955922016,0.0,1419881.9955922016,3034296.7702080607,32.806459535459766,32.806459535459766,20.0,107.45135661380682
1228.0,-33.90136435192799,1416072.1333084975,0.0,1416072.1333084975,3055450.5237087603,32.71843361591764,32.71843361591764,20.0,108.2905401271738
