Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
6813.04931641,6.81304931641,-120.266730962,-115.1745899,-111.419037234,-112.853059388,-109.33875568
6958.0078125,6.9580078125,-119.753182585,-116.012229824,-111.964689328,-114.718815363,-108.869702105
7102.96630859,7.10296630859,-120.774038085,-113.943028993,-111.425904545,-113.776492978,-109.146079538
7247.92480469,7.24792480469,-120.401668046,-113.564360988,-107.378713048,-109.534925565,-107.568382979
7392.88330078,7.39288330078,-119.735343042,-113.582248298,-104.075817729,-105.023838054,-108.124863847
7537.84179688,7.53784179688,-121.030527674,-114.20029578,-91.4501385774,-93.8518351295,-107.986766603
7682.80029297,7.68280029297,-120.690444136,-113.299603052,-91.4031934335,-94.1109182102,-107.985365715
7827.75878906,7.82775878906,-119.513132612,-112.292795487,-101.342340409,-103.268100879,-107.004869409
7972.71728516,7.97271728516,-119.844052434,-112.452669846,-95.5638039734,-98.4442078086,-104.624513859
8117.67578125,8.11767578125,-120.21233862,-112.732436426,-92.4343597384,-95.5714544389,-103.791691886
8262.63427734,8.26263427734,-119.185432396,-111.968037457,-93.2554752663,-96.5483034517,-104.433651517
8407.59277344,8.40759277344,-118.917798935,-112.794321297,-98.9700456225,-103.127770795,-104.370518831
8552.55126953,8.55255126953,-118.634097607,-113.100056309,-105.516342509,-108.90948481,-103.63621452
8697.50976562,8.69750976562,-118.979094561,-112.918181089,-104.407920655,-109.842346328,-104.492656989
8842.46826172,8.84246826172,-118.491461737,-113.082190727,-107.072659666,-109.73291195,-106.857064135
8987.42675781,8.98742675781,-118.252596803,-113.266426534,-109.751615492,-111.551615287,-108.363928782
9132.38525391,9.13238525391,-118.445344913,-112.78011005,-109.005376083,-110.760251747,-107.88830124
9277.34375,9.27734375,-118.387436447,-112.967743062,-108.779866892,-109.904148756,-107.1615726
9422.30224609,9.42230224609,-118.216280769,-112.106061644,-105.59002151,-108.142742129,-107.777760656
9567.26074219,9.56726074219,-116.682278856,-112.545041729,-103.299308338,-106.044098441,-108.33059237
9712.21923828,9.71221923828,-116.341988066,-111.648809447,-105.548561728,-108.286292207,-109.623862421
9857.17773438,9.85717773438,-116.590459015,-111.369294451,-106.501476992,-108.837331828,-108.734329482
10002.1362305,10.0021362305,-117.179725123,-111.77191486,-109.185237716,-109.714613251,-107.809913777
10147.0947266,10.1470947266,-116.819987734,-111.940458684,-109.929842898,-111.435171225,-108.09717904
10292.0532227,10.2920532227,-116.163118168,-113.279623673,-110.424200014,-109.869460205,-107.437408139
10437.0117188,10.4370117188,-116.469309484,-112.255703425,-107.284959946,-108.74568187,-107.573825119
10581.9702148,10.5819702148,-115.653755205,-111.512824172,-100.345729753,-102.753375773,-107.334505666
10726.9287109,10.7269287109,-116.546762559,-111.566657811,-98.6443122716,-101.630065869,-108.618332556
10871.887207,10.871887207,-115.813391283,-111.244066674,-104.165976766,-107.999988707,-109.698907521
11016.8457031,11.0168457031,-115.209035822,-111.822761273,-110.494869738,-110.820369666,-109.434717621
11161.8041992,11.1618041992,-115.44749963,-109.933936156,-111.743644296,-112.76393064,-108.772992255
11306.7626953,11.3067626953,-115.159269245,-109.733650264,-111.369297809,-113.157616701,-108.513993447
11451.7211914,11.4517211914,-115.220149989,-110.440704007,-111.237577645,-112.421729795,-108.944287548
11596.6796875,11.5966796875,-116.976149098,-110.647881337,-112.461617195,-111.853300298,-108.680348153
11741.6381836,11.7416381836,-115.576026693,-110.293838662,-111.7681379,-111.943625134,-107.941071842
11886.5966797,11.8865966797,-115.249765927,-110.768633713,-109.814683302,-110.796340617,-108.063587723
12031.5551758,12.0315551758,-115.762462797,-110.361209218,-107.711949826,-109.582714106,-108.122094004
12176.5136719,12.1765136719,-116.013993188,-109.680507938,-104.061468542,-106.80394442,-108.385670915
12321.472168,12.321472168,-116.225023415,-110.453650183,-100.271226245,-102.604948437,-108.171861107
12466.4306641,12.4664306641,-116.943342393,-109.821032692,-103.008888311,-104.964436915,-108.132989208
12611.3891602,12.6113891602,-116.859298644,-109.593987575,-111.448203641,-110.554096438,-106.858542521
12756.3476562,12.7563476562,-114.6460612,-108.312463896,-111.204831223,-111.061534042,-106.974200078
12901.3061523,12.9013061523,-113.398549418,-108.637490076,-109.753588187,-110.629140567,-108.303175482
13046.2646484,13.0462646484,-113.904485753,-109.034086347,-108.174830362,-110.472852969,-106.812563783
13191.2231445,13.1912231445,-113.966959375,-108.424469712,-109.296522776,-111.586145943,-107.364325832
13336.1816406,13.3361816406,-114.485254041,-109.560316064,-111.170028863,-109.872310078,-107.421689056
13481.1401367,13.4811401367,-114.714752315,-109.348396007,-109.403957902,-109.302468786,-107.227174966
13626.0986328,13.6260986328,-113.72974863,-108.763557932,-108.124998412,-111.104452664,-106.509772192
13771.0571289,13.7710571289,-113.289538354,-108.873946813,-110.297757273,-111.076290495,-106.882243857
13916.015625,13.916015625,-113.384158728,-108.766144966,-110.433236044,-110.415507504,-107.709624108
14060.9741211,14.0609741211,-113.273416339,-107.97815433,-110.957360862,-109.904241702,-108.49295202
14205.9326172,14.2059326172,-113.379580465,-108.45491808,-109.320082725,-109.733367134,-107.585787967
14350.8911133,14.3508911133,-113.384950316,-109.730417897,-109.553304392,-110.469234412,-107.46382994
14495.8496094,14.4958496094,-113.774777424,-111.531363312,-109.590845195,-109.779596725,-108.997855566
14640.8081055,14.6408081055,-113.977463527,-111.470057329,-108.373338728,-109.603501757,-108.824517929
14785.7666016,14.7857666016,-113.78541069,-110.857582743,-109.411860931,-110.50721475,-107.238414052
14930.7250977,14.9307250977,-113.484209386,-109.415613461,-109.568638259,-109.925609213,-106.553681355
15075.6835938,15.0756835938,-111.958307297,-108.931066381,-108.42885865,-108.97889213,-107.249998241
15220.6420898,15.2206420898,-112.485831958,-109.058792498,-106.723419632,-107.886435645,-106.907119758
15365.6005859,15.3656005859,-114.746806761,-109.489786311,-108.03094242,-109.450052096,-107.019729398
15510.559082,15.510559082,-114.225128154,-108.174760158,-109.477521331,-110.508221526,-108.162084653
15655.5175781,15.6555175781,-113.366575285,-106.620802625,-108.553681741,-109.645910722,-106.909488797
15800.4760742,15.8004760742,-113.172032093,-107.297678192,-102.351129045,-103.717534983,-104.999758535
15945.4345703,15.9454345703,-112.954236648,-107.477522608,-100.395141944,-102.124164401,-105.385396137
16090.3930664,16.0903930664,-112.757282315,-108.836445432,-106.860972964,-108.186777456,-106.536079614
16235.3515625,16.2353515625,-111.494019224,-107.6359035,-106.436346561,-108.139215034,-106.429449002
16380.3100586,16.3803100586,-112.735897092,-107.148711532,-106.670277109,-108.009231421,-107.662790357
16525.2685547,16.5252685547,-112.81815788,-107.11249106,-108.895509092,-107.733614859,-107.313705992
16670.2270508,16.6702270508,-112.188976959,-106.510060684,-108.357487804,-108.531873492,-107.189742123
