AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
30731.2011719,30.7312011719,-49.3346262644,-45.3944395952,-47.0563487253,-46.4144187368,-44.1627576391
30876.159668,30.876159668,-50.1298482321,-44.9609297756,-45.9208356961,-46.6770950502,-43.0146804196
31021.1181641,31.0211181641,-50.2051777465,-44.2851932359,-46.2517894111,-46.2199038739,-43.6993729214
31166.0766602,31.1660766602,-49.3270213813,-45.0695940531,-47.1759992723,-45.4551698418,-44.5580965582
31311.0351562,31.3110351562,-49.9949927628,-45.2086482307,-46.1274590287,-46.3982117687,-45.0418844745
31455.9936523,31.4559936523,-49.3652159827,-45.780926315,-45.8384101084,-46.989582486,-44.1856170339
31600.9521484,31.6009521484,-49.2633986465,-44.7604611219,-44.8895942342,-45.6234580205,-43.1452445492
31745.9106445,31.7459106445,-49.4394840753,-40.9330290464,-40.8140725457,-42.6896135259,-42.5837136182
31890.8691406,31.8908691406,-49.5420557582,-42.7053801275,-41.3008157292,-43.4321732421,-44.4780228812
32035.8276367,32.0358276367,-49.4942296158,-45.1636277604,-45.4787903154,-46.9471240001,-45.5642882141
32180.7861328,32.1807861328,-49.7365159535,-44.7477335277,-45.9878517874,-46.4423302489,-44.7678898326
32325.7446289,32.3257446289,-49.3751423069,-45.3192441651,-46.6192698341,-46.6498570236,-44.9135150018
32470.703125,32.470703125,-49.9287723216,-44.443539425,-45.6889622233,-46.7692046745,-44.3618696409
32615.6616211,32.6156616211,-50.138413403,-43.9943762072,-44.4416562122,-46.6967078762,-44.4353900036
32760.6201172,32.7606201172,-49.8517087727,-44.7333691525,-45.246147154,-46.5015312058,-43.6292791271
32905.5786133,32.9055786133,-49.9200694334,-43.4307640104,-46.0713297194,-47.2343686437,-43.4397825262
33050.5371094,33.0505371094,-49.9561067502,-43.3422265512,-45.9353392062,-46.2705978244,-43.464265549
33195.4956055,33.1954956055,-48.6436926206,-44.3039811947,-46.7225313618,-46.5686124004,-42.9068602499
33340.4541016,33.3404541016,-48.5580249745,-44.4836279443,-46.6425392056,-46.8003031661,-44.1483960562
33485.4125977,33.4854125977,-49.9041275523,-44.6383424154,-45.382815352,-47.1872153387,-44.3481707979
33630.3710938,33.6303710938,-49.0484272036,-44.9281604311,-45.8842822077,-47.1297836188,-43.5950094916
