Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
21598.815918,21.598815918,-48.698039799,-44.8604753874,-45.0878165988,-47.1656772519,-43.6360969794
21743.7744141,21.7437744141,-49.392225943,-44.1524966426,-44.8723177572,-46.9644015713,-43.9046133954
21888.7329102,21.8887329102,-49.9967456799,-44.3871257483,-45.5439626391,-47.0769038625,-45.9417512395
22033.6914062,22.0336914062,-49.8126055087,-44.9780588711,-45.6570638005,-46.8090541081,-44.9038482876
22178.6499023,22.1786499023,-48.551961418,-45.4055923049,-46.9075889746,-45.9047392716,-43.0879249048
22323.6083984,22.3236083984,-48.6789892973,-45.0329831855,-45.7580795823,-45.7094995934,-43.3380908273
22468.5668945,22.4685668945,-49.4186637625,-45.3728522702,-45.5007631555,-46.4020466203,-43.5290652641
22613.5253906,22.6135253906,-49.9558992534,-46.0501787318,-46.1750415724,-46.0560893403,-43.5129078391
22758.4838867,22.7584838867,-51.3618302243,-45.4984370343,-44.9238254685,-45.228818904,-44.1637343984
22903.4423828,22.9034423828,-49.6947928154,-44.8471123099,-45.4418096903,-45.1694506532,-43.5471908925
23048.4008789,23.0484008789,-50.2679257443,-45.2626596217,-47.5160493806,-46.2432345982,-43.2661524733
23193.359375,23.193359375,-49.0626171414,-45.4774979404,-46.8383184284,-46.8365368648,-44.7173615762
23338.3178711,23.3383178711,-49.4123581722,-45.9990468983,-46.3435507263,-45.4318550555,-45.7921396191
23483.2763672,23.4832763672,-51.2714984475,-45.1842795121,-46.7329845353,-45.3242862188,-44.8415739696
23628.2348633,23.6282348633,-50.8471399822,-45.601019372,-47.579402208,-46.8354076291,-44.2476335639
23773.1933594,23.7731933594,-49.236442863,-45.6302085298,-47.053569407,-46.9300241692,-43.9119566197
23918.1518555,23.9181518555,-48.8547266554,-44.5675049202,-45.1127312372,-47.782286652,-45.2939326209
24063.1103516,24.0631103516,-50.1680533211,-43.889107691,-44.6335191389,-47.2422782105,-44.213630601
24208.0688477,24.2080688477,-48.8328616525,-44.7941881288,-44.3639600708,-46.9935183047,-43.3032545414
24353.0273438,24.3530273438,-48.6261416751,-44.2386475591,-45.2133449623,-46.5182221869,-43.5381001312
24497.9858398,24.4979858398,-50.0585733585,-44.7642221646,-44.916586234,-46.0119850786,-43.7325738622
24642.9443359,24.6429443359,-49.2026376883,-44.2353970987,-45.2205253765,-46.9299616934,-45.0942905347
24787.902832,24.787902832,-49.2012881712,-44.4467518437,-46.2358492727,-46.9054046116,-44.1303089433
24932.8613281,24.9328613281,-50.2862613277,-46.1740848693,-45.5572770479,-45.5918236324,-43.8505118469
25077.8198242,25.0778198242,-49.9441854312,-45.3970226099,-44.3962666243,-44.887767483,-44.4796066056
25222.7783203,25.2227783203,-51.4227204614,-44.8983495049,-45.7158195454,-45.8010992236,-43.8908271049
25367.7368164,25.3677368164,-51.1611315219,-44.714104881,-45.9339383276,-46.3645872086,-43.4505527702
25512.6953125,25.5126953125,-49.3085222716,-44.1410821529,-45.2195729656,-46.8604527373,-43.173209194
25657.6538086,25.6576538086,-48.9012323661,-44.6526680565,-45.9118781804,-46.0592659093,-43.2398022773
25802.6123047,25.8026123047,-49.3097957136,-44.9618874578,-45.1486244493,-46.3730574211,-43.639695324
25947.5708008,25.9475708008,-49.0322582323,-44.7382416854,-45.2619535454,-46.6825911473,-43.4646401721
26092.5292969,26.0925292969,-48.2013724202,-46.0435879418,-47.2628559861,-47.2225926569,-43.1640044619
26237.487793,26.237487793,-48.7434569951,-44.7808436859,-45.1405540517,-47.3122874608,-43.9942420093
26382.4462891,26.3824462891,-49.1225762287,-42.927654345,-44.613410142,-45.9787040854,-43.9633538576
26527.4047852,26.5274047852,-48.9401820902,-44.4598100086,-44.7259365149,-45.5947250484,-44.6082151651
26672.3632812,26.6723632812,-49.6380745132,-45.4453218064,-45.5390545878,-46.0728148781,-45.053468787
26817.3217773,26.8173217773,-48.7745542456,-45.5317761986,-45.2762050877,-46.4183996284,-44.5310638628
26962.2802734,26.9622802734,-48.7338973831,-44.115857065,-45.7619648354,-47.0249203484,-44.305802214
27107.2387695,27.1072387695,-49.8887242515,-44.4706166443,-45.9711568256,-46.2470773477,-45.2766747478
27252.1972656,27.2521972656,-50.0499363967,-44.8316474085,-46.7742201298,-45.9425650071,-44.2428892861
27397.1557617,27.3971557617,-50.584631439,-44.9282524402,-45.9117138591,-45.7480470101,-43.8150565342
27542.1142578,27.5421142578,-49.861600801,-44.6038421908,-46.0928722564,-46.0731294465,-43.7600465591
27687.0727539,27.6870727539,-50.0943302463,-44.2894281897,-46.492040343,-45.9387012849,-44.9247815016
27832.03125,27.83203125,-49.9136730515,-44.6586864654,-45.7017815875,-45.9692636268,-45.2908172419
27976.9897461,27.9769897461,-49.3040295929,-44.9157398478,-46.2626024275,-46.2622808634,-45.5044176163
28121.9482422,28.1219482422,-49.2216616907,-45.3824434408,-46.0749661696,-47.5124006885,-44.8875304863
28266.9067383,28.2669067383,-49.1266501732,-44.7905100102,-45.5758200941,-47.2197573811,-43.7504917036
28411.8652344,28.4118652344,-48.2271174046,-45.4058768666,-45.3406002504,-45.7085992766,-43.5550567864
28556.8237305,28.5568237305,-47.824810309,-45.5927994325,-44.9206808865,-45.9416739616,-43.8561935767
28701.7822266,28.7017822266,-48.6390878364,-46.1508945561,-45.1420836516,-45.5581896113,-44.8551967045
28846.7407227,28.8467407227,-49.9754754613,-45.4954446662,-45.2609465159,-47.6737120185,-45.5314309701
