AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
3479.00390625,3.47900390625,-126.54470676,-115.813526901,-90.6479568436,-94.0599542733,-109.009523659
3623.96240234,3.62396240234,-126.379206166,-116.875556376,-81.0302847369,-84.3136466631,-108.816625824
3768.92089844,3.76892089844,-126.767042046,-117.522846852,-76.313126575,-79.9366100463,-105.979360044
3913.87939453,3.91387939453,-125.34842327,-116.802140459,-78.0346432371,-81.7677608406,-102.409478982
4058.83789062,4.05883789062,-125.31232693,-116.754560209,-78.359774441,-81.1334962596,-103.598715852
4203.79638672,4.20379638672,-124.402555073,-116.991857792,-82.0949257666,-85.4519844683,-108.248746619
4348.75488281,4.34875488281,-123.831609993,-116.808572611,-88.1684117058,-92.6216471595,-111.058684586
4493.71337891,4.49371337891,-124.687871769,-117.116479883,-88.9397307014,-91.3710987952,-110.454998713
4638.671875,4.638671875,-124.264721614,-116.478299158,-94.4855527996,-98.0269365141,-110.729067521
4783.63037109,4.78363037109,-124.018523461,-114.905205585,-103.47561995,-106.976483249,-110.408338469
4928.58886719,4.92858886719,-123.729579503,-114.473519833,-103.702922021,-106.849934846,-109.722518483
5073.54736328,5.07354736328,-123.499338215,-114.407973992,-95.3814659141,-98.9403363613,-109.429135484
5218.50585938,5.21850585938,-122.978003073,-116.738066789,-87.3879948729,-89.7053455154,-110.660581571
5363.46435547,5.36346435547,-122.086142921,-117.070591871,-81.5110125292,-82.8546028764,-110.203955838
5508.42285156,5.50842285156,-121.831513005,-115.372705136,-81.0155249912,-82.5858246908,-108.506040147
5653.38134766,5.65338134766,-122.809585899,-115.117388942,-87.8523844712,-90.1664859046,-107.527705296
5798.33984375,5.79833984375,-122.023097906,-114.305565505,-97.6280009167,-101.034791829,-108.725767074
5943.29833984,5.94329833984,-121.968130204,-113.479979324,-95.9450757482,-98.5041108217,-109.177904523
6088.25683594,6.08825683594,-121.436749651,-111.481487227,-98.2374320012,-101.267506153,-106.841140394
6233.21533203,6.23321533203,-121.216935361,-111.169858111,-103.561454376,-105.987230393,-104.605533443
6378.17382812,6.37817382812,-121.415096984,-112.348619251,-109.83985815,-110.048063784,-103.978287982
6523.13232422,6.52313232422,-121.287073644,-113.895731041,-109.614612913,-110.135912029,-105.852705738
6668.09082031,6.66809082031,-120.149837525,-114.916269337,-110.932741314,-111.187960543,-108.610040457
6813.04931641,6.81304931641,-120.382287306,-114.376794528,-111.814680987,-113.009925651,-109.01157785
6958.0078125,6.9580078125,-120.272456767,-115.280946491,-112.47262752,-114.21263141,-108.800439045
7102.96630859,7.10296630859,-119.826594369,-113.691776498,-111.764323927,-113.524907647,-109.193518536
7247.92480469,7.24792480469,-120.020135888,-113.287411881,-107.353490084,-109.159900508,-107.587710708
7392.88330078,7.39288330078,-119.904352037,-114.20510858,-104.197600403,-105.058085715,-107.959895259
7537.84179688,7.53784179688,-120.340518974,-114.256460507,-91.5660861913,-93.9210506913,-107.360750977
7682.80029297,7.68280029297,-119.922547565,-112.833257601,-91.4982724229,-94.1648682952,-107.058800401
7827.75878906,7.82775878906,-119.341935074,-113.05062042,-101.477941511,-103.049576845,-106.987868159
7972.71728516,7.97271728516,-119.593311354,-112.95189452,-95.5759545542,-98.5801184884,-104.895572942
8117.67578125,8.11767578125,-119.754323657,-112.71253122,-92.3654412881,-95.758206902,-103.482802258
8262.63427734,8.26263427734,-119.099683906,-112.222173027,-93.2986483644,-96.6749423959,-104.610311303
8407.59277344,8.40759277344,-118.668335879,-112.917980828,-99.1257515455,-103.277753483,-105.585316419
8552.55126953,8.55255126953,-118.398842254,-113.053965391,-105.757359293,-109.042894854,-104.912992298
8697.50976562,8.69750976562,-118.97882252,-112.541984406,-104.974840128,-110.084438637,-105.174867791
8842.46826172,8.84246826172,-118.62676337,-112.969617208,-107.326809721,-110.170257853,-106.820985613
8987.42675781,8.98742675781,-118.374980238,-113.157959763,-110.044857867,-111.773122892,-107.728482893
9132.38525391,9.13238525391,-117.823579967,-112.578127445,-108.928619916,-110.562468669,-108.136678385
9277.34375,9.27734375,-117.775539659,-112.832254498,-108.838465979,-109.906829924,-107.282320934
9422.30224609,9.42230224609,-117.479138873,-112.192729596,-105.403320939,-107.970206063,-107.654414562
9567.26074219,9.56726074219,-117.06345155,-112.181180376,-103.357261032,-105.762979954,-108.704854523
9712.21923828,9.71221923828,-117.445387436,-111.033219444,-105.71724558,-107.830351487,-109.25416799
9857.17773438,9.85717773438,-116.791132809,-111.350026369,-106.998761496,-108.689884956,-108.365046272
10002.1362305,10.0021362305,-117.277565147,-112.36829282,-109.735278198,-110.440911269,-107.722545883
10147.0947266,10.1470947266,-117.181211042,-112.284082045,-110.140186288,-112.373498846,-108.208159032
10292.0532227,10.2920532227,-117.031743914,-112.551493304,-109.524084519,-110.472048301,-107.735893097
10437.0117188,10.4370117188,-117.099833375,-112.025635959,-107.139133754,-108.582936202,-107.764692703
10581.9702148,10.5819702148,-116.223290282,-111.663412337,-100.314761941,-102.990964797,-107.910014528
10726.9287109,10.7269287109,-117.122482576,-111.046847716,-98.4440180415,-101.982055224,-108.127640603
10871.887207,10.871887207,-116.284780458,-110.989468488,-103.621758863,-107.857454595,-108.429513263
11016.8457031,11.0168457031,-115.547728135,-111.894119306,-110.92262072,-110.87004371,-109.147471816
11161.8041992,11.1618041992,-115.389377158,-110.009092415,-112.330279948,-112.3822404,-109.326065626
11306.7626953,11.3067626953,-115.478863209,-110.184506478,-111.882700048,-112.422982005,-109.482987212
11451.7211914,11.4517211914,-115.803814057,-111.009703437,-112.124599174,-112.944440124,-109.356623166
11596.6796875,11.5966796875,-116.15088308,-111.64616988,-112.650218341,-112.289768961,-109.198633998
11741.6381836,11.7416381836,-115.831458622,-111.357081193,-111.566482861,-111.69129837,-107.988814187
11886.5966797,11.8865966797,-114.913859807,-110.823001882,-109.281361588,-111.136485055,-107.891960502
12031.5551758,12.0315551758,-114.926525091,-110.524304157,-107.556728327,-109.603374882,-107.50904212
12176.5136719,12.1765136719,-115.485667245,-109.893970389,-104.262661167,-107.048124745,-107.605637239
12321.472168,12.321472168,-115.428478286,-110.216051795,-100.495937008,-102.7131364,-107.922654405
