Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_MHz,TwoTapDelaySamples,NormalizedFirRejection_dB
37460292.05841168,37.460292058412,-38.539707941588,8,-0.00216177514471
37495499.099819966,37.495499099820,-38.504500900180,8,-0.00188891425995
37530706.141228244,37.530706141228,-38.469293858772,8,-0.00163445833929
37565913.182636529,37.565913182637,-38.434086817363,8,-0.00139840630441
37601120.224044807,37.601120224045,-38.398879775955,8,-0.00118075715503
37636327.265453093,37.636327265453,-38.363672734547,8,-0.000981509968897
37671534.306861371,37.671534306861,-38.328465693139,8,-0.000800663901785
37706741.348269656,37.706741348270,-38.293258651730,8,-0.000638218187457
37741948.389677934,37.741948389678,-38.258051610322,8,-0.000494172137671
37777155.43108622,37.777155431086,-38.222844568914,8,-0.000368525142156
37812362.472494498,37.812362472494,-38.187637527506,8,-0.000261276668616
37847569.513902783,37.847569513903,-38.152430486097,8,-0.000172426262702
37882776.555311061,37.882776555311,-38.117223444689,8,-0.000101973548023
37917983.596719347,37.917983596719,-38.082016403281,8,-4.99182261255e-05
37953190.638127625,37.953190638128,-38.046809361872,8,-1.62600764973e-05
37988397.67953591,37.988397679536,-38.011602320464,8,-9.98956558038e-07
38023604.720944189,38.023604720944,-37.976395279056,8,-4.13480166136e-06
38058811.762352474,38.058811762352,-37.941188237648,8,-2.56676250914e-05
38094018.803760752,38.094018803761,-37.905981196239,8,-6.5597518062e-05
38129225.845169038,38.129225845169,-37.870774154831,8,-0.000123924649721
38164432.886577316,38.164432886577,-37.835567113423,8,-0.00020064926715
38199639.927985601,38.199639927986,-37.800360072014,8,-0.000295771695373
38234846.969393879,38.234846969394,-37.765153030606,8,-0.000409292337356
38270054.010802165,38.270054010802,-37.729945989198,8,-0.000541211674019
38305261.052210443,38.305261052210,-37.694738947790,8,-0.000691530264242
38340468.093618721,38.340468093619,-37.659531906381,8,-0.000860248744873
38375675.135027006,38.375675135027,-37.624324864973,8,-0.00104736783074
38410882.176435284,38.410882176435,-37.589117823565,8,-0.00125288831467
38446089.21784357,38.446089217844,-37.553910782156,8,-0.00147681106749
38481296.259251848,38.481296259252,-37.518703740748,8,-0.00171913703804
38516503.300660133,38.516503300660,-37.483496699340,8,-0.00197986725322
38551710.342068411,38.551710342068,-37.448289657932,8,-0.00225900281796
