pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(1,2)-(7,8)",10,0.13783172186776937,154.05257772174008,12.411791881986263,120303,urad^4
"(7,1)-(8,2)",10,0.13783172186776937,30.045299565775,5.481359280851329,120303,urad^4
"(3,1)-(8,6)",10,0.13783172186776937,243.84134412643894,15.615420075247382,120303,urad^4
"(3,2)-(8,7)",10,0.13783172186776937,237.31830151402434,15.405138802166773,120303,urad^4
"(7,2)-(8,3)",12,0.16539806624132325,34.03610351590066,5.834046924382822,120299,urad^4
"(1,3)-(6,8)",12,0.16539806624132325,247.5352705078857,15.733253652944317,120299,urad^4
"(2,3)-(7,8)",12,0.16539806624132325,238.5377200238515,15.444666394061462,120299,urad^4
"(6,1)-(8,3)",12,0.16539806624132325,123.035146412721,11.092120915889847,120299,urad^4
"(2,2)-(8,8)",12,0.16539806624132325,166.82986230506634,12.916263480785236,120299,urad^4
"(1,2)-(7,8)",12,0.16539806624132325,173.90960823809405,13.187479222281036,120299,urad^4
"(7,1)-(8,2)",12,0.16539806624132325,32.92580266981548,5.738100963717481,120299,urad^4
"(3,1)-(8,6)",12,0.16539806624132325,274.7102230206272,16.57438454424861,120299,urad^4
"(3,2)-(8,7)",12,0.16539806624132325,273.48172340435394,16.537282830149394,120299,urad^4
"(7,2)-(8,3)",13,0.1791812384281002,35.94420773730382,5.995348842002759,120297,urad^4
"(1,3)-(6,8)",13,0.1791812384281002,262.29196490551834,16.195430371111424,120297,urad^4
"(2,3)-(7,8)",13,0.1791812384281002,254.2659804401926,15.945719815680715,120297,urad^4
"(6,1)-(8,3)",13,0.1791812384281002,130.12772983454326,11.407354199574206,120297,urad^4
"(2,2)-(8,8)",13,0.1791812384281002,177.67101249738968,13.329329034028294,120297,urad^4
"(1,2)-(7,8)",13,0.1791812384281002,184.26002968695565,13.574241403738025,120297,urad^4
"(7,1)-(8,2)",13,0.1791812384281002,34.53292488735117,5.876472146394567,120297,urad^4
"(3,1)-(8,6)",13,0.1791812384281002,290.8524313709212,17.054396247622524,120297,urad^4
"(3,2)-(8,7)",13,0.1791812384281002,292.2735085716176,17.096008556725092,120297,urad^4
"(7,2)-(8,3)",15,0.20674758280165406,40.00809754431521,6.32519545502866,120293,urad^4
"(1,3)-(6,8)",15,0.20674758280165406,294.11698704106016,17.149839271580948,120293,urad^4
"(2,3)-(7,8)",15,0.20674758280165406,287.2131683265555,16.947364642520544,120293,urad^4
"(6,1)-(8,3)",15,0.20674758280165406,145.50297062922178,12.062461217729231,120293,urad^4
"(2,2)-(8,8)",15,0.20674758280165406,200.54978457146052,14.161560103726584,120293,urad^4
"(1,2)-(7,8)",15,0.20674758280165406,206.77704286015145,14.379744186186048,120293,urad^4
"(7,1)-(8,2)",15,0.20674758280165406,38.159662594431325,6.177350774760272,120293,urad^4
"(3,1)-(8,6)",15,0.20674758280165406,325.7747460616092,18.049231176468687,120293,urad^4
"(3,2)-(8,7)",15,0.20674758280165406,331.5686759378773,18.20902731992781,120293,urad^4
"(7,2)-(8,3)",17,0.23431392717520794,44.044968238808934,6.636638323640135,120289,urad^4
"(1,3)-(6,8)",17,0.23431392717520794,326.7327277159376,18.07574971379991,120289,urad^4
"(2,3)-(7,8)",17,0.23431392717520794,319.8393427769149,17.884052750339194,120289,urad^4
"(6,1)-(8,3)",17,0.23431392717520794,161.19625067292887,12.696308545121644,120289,urad^4
"(2,2)-(8,8)",17,0.23431392717520794,223.38917566420574,14.946209407880172,120289,urad^4
"(1,2)-(7,8)",17,0.23431392717520794,229.96687898067626,15.164658881118172,120289,urad^4
"(7,1)-(8,2)",17,0.23431392717520794,41.909418625021516,6.473748421511413,120289,urad^4
"(3,1)-(8,6)",17,0.23431392717520794,362.23973976456534,19.032596768821783,120289,urad^4
"(3,2)-(8,7)",17,0.23431392717520794,370.2948332928849,19.243046362072842,120289,urad^4
"(7,2)-(8,3)",19,0.2618802715487618,47.55713091749634,6.896167842903502,120285,urad^4
"(1,3)-(6,8)",19,0.2618802715487618,355.7088783498228,18.860245977977666,120285,urad^4
"(2,3)-(7,8)",19,0.2618802715487618,348.18922625579563,18.659829212932138,120285,urad^4
"(6,1)-(8,3)",19,0.2618802715487618,175.06208518934454,13.231102946819837,120285,urad^4
"(2,2)-(8,8)",19,0.2618802715487618,243.2861917793042,15.597634172505272,120285,urad^4
"(1,2)-(7,8)",19,0.2618802715487618,250.52994699189256,15.828137824516583,120285,urad^4
"(7,1)-(8,2)",19,0.2618802715487618,45.16270846033711,6.72032056231971,120285,urad^4
"(3,1)-(8,6)",19,0.2618802715487618,395.0358339245105,19.875508394114362,120285,urad^4
"(3,2)-(8,7)",19,0.2618802715487618,403.63181793946995,20.090590283500134,120285,urad^4
"(7,2)-(8,3)",22,0.3032297881090926,51.537113096934064,7.178935373503098,120279,urad^4
"(1,3)-(6,8)",22,0.3032297881090926,389.2304743949988,19.72892481599032,120279,urad^4
"(2,3)-(7,8)",22,0.3032297881090926,380.47482906044974,19.505763995815435,120279,urad^4
"(6,1)-(8,3)",22,0.3032297881090926,191.0349374544948,13.82153889603089,120279,urad^4
"(2,2)-(8,8)",22,0.3032297881090926,266.0103709015477,16.3098243675874,120279,urad^4
"(1,2)-(7,8)",22,0.3032297881090926,274.3861611830298,16.564605675446362,120279,urad^4
"(7,1)-(8,2)",22,0.3032297881090926,48.92463420264027,6.99461465719451,120279,urad^4
"(3,1)-(8,6)",22,0.3032297881090926,433.3618878699029,20.817345841146583,120279,urad^4
"(3,2)-(8,7)",22,0.3032297881090926,441.49989621741514,21.011898919836234,120279,urad^4
"(7,2)-(8,3)",24,0.3307961324826465,53.30059696594855,7.300725783505949,120275,urad^4
"(1,3)-(6,8)",24,0.3307961324826465,404.87346584532105,20.121467785559805,120275,urad^4
"(2,3)-(7,8)",24,0.3307961324826465,395.1578804908154,19.87857843234308,120275,urad^4
"(6,1)-(8,3)",24,0.3307961324826465,198.4417710138074,14.086936182641256,120275,urad^4
"(2,2)-(8,8)",24,0.3307961324826465,276.4350553311744,16.62633619686473,120275,urad^4
"(1,2)-(7,8)",24,0.3307961324826465,285.603094454474,16.899795692684393,120275,urad^4
"(7,1)-(8,2)",24,0.3307961324826465,50.67704331826857,7.118781027554406,120275,urad^4
"(3,1)-(8,6)",24,0.3307961324826465,451.61806068397885,21.251307270000563,120275,urad^4
"(3,2)-(8,7)",24,0.3307961324826465,458.9244606614476,21.42252227590037,120275,urad^4
"(7,2)-(8,3)",27,0.3721456490429773,54.69657869230123,7.39571353503509,120269,urad^4
"(1,3)-(6,8)",27,0.3721456490429773,418.72583628762686,20.462791507700675,120269,urad^4
"(2,3)-(7,8)",27,0.3721456490429773,407.7397150687157,20.19256583668147,120269,urad^4
"(6,1)-(8,3)",27,0.3721456490429773,204.85789645631732,14.31285773199459,120269,urad^4
"(2,2)-(8,8)",27,0.3721456490429773,285.6031131747131,16.89979624654431,120269,urad^4
"(1,2)-(7,8)",27,0.3721456490429773,295.74584742154525,17.197262788640092,120269,urad^4
"(7,1)-(8,2)",27,0.3721456490429773,52.207751491604355,7.225493165978662,120269,urad^4
"(3,1)-(8,6)",27,0.3721456490429773,468.45547717711344,21.643832312626927,120269,urad^4
"(3,2)-(8,7)",27,0.3721456490429773,474.2919136677085,21.77824404463566,120269,urad^4
"(7,2)-(8,3)",31,0.42727833779008506,54.64359190156552,7.392130403447001,120261,urad^4
"(1,3)-(6,8)",31,0.42727833779008506,421.22081612201896,20.523664782928485,120261,urad^4
"(2,3)-(7,8)",31,0.42727833779008506,409.410297555725,20.233889827606678,120261,urad^4
"(6,1)-(8,3)",31,0.42727833779008506,205.67489247185105,14.3413699649598,120261,urad^4
"(2,2)-(8,8)",31,0.42727833779008506,287.1743223710633,16.946218527183674,120261,urad^4
"(1,2)-(7,8)",31,0.42727833779008506,297.9129707441652,17.26015558284934,120261,urad^4
"(7,1)-(8,2)",31,0.42727833779008506,52.35960003808871,7.23599336912968,120261,urad^4
"(3,1)-(8,6)",31,0.42727833779008506,472.7796244196661,21.743496140677703,120261,urad^4
"(3,2)-(8,7)",31,0.42727833779008506,476.9828663555033,21.83993741647405,120261,urad^4
"(7,2)-(8,3)",35,0.4824110265371928,53.23353690425937,7.296131639729327,120253,urad^4
"(1,3)-(6,8)",35,0.4824110265371928,411.9271355217586,20.295988163224735,120253,urad^4
"(2,3)-(7,8)",35,0.4824110265371928,399.9975960115953,19.999939900199582,120253,urad^4
"(6,1)-(8,3)",35,0.4824110265371928,200.85663402104743,14.172389848612246,120253,urad^4
